order_item_id,order_id,product_id,quantity,unit_price
OI00191,ORD00093,PROD0003,2,56.52
OI00192,ORD00094,PROD0006,1,37.79
OI00193,ORD00094,PROD0016,5,30.01
OI00194,ORD00094,PROD0018,2,45.01
OI00195,ORD00095,PROD0018,3,3.68
OI00196,ORD00095,PROD0029,5,43.4
OI00197,ORD00095,PROD0023,4,77.41
OI00198,ORD00096,PROD0013,5,70.31
OI00199,ORD00096,PROD0016,2,88.01
OI00200,ORD00096,PROD0008,2,71.52
OI00201,ORD00097,PROD0015,2,46.74
OI00202,ORD00097,PROD0028,2,64.02
OI00203,ORD00098,PROD0005,1,58.48
OI00204,ORD00098,PROD0020,1,38.6
OI00205,ORD00098,PROD0026,3,16.6
OI00206,ORD00099,PROD0007,4,37.97
OI00207,ORD00100,PROD0019,3,68.95
OI00208,ORD00100,PROD0010,3,78.46
OI00209,ORD00100,PROD0012,3,50.8
